frame,r11,r12,r13,r21,r22,r23,r31,r32,r33,tx,ty,tz
frame_000,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
frame_001,0.9991054793425164,-0.001167088935563134,0.04227149218062627,0.0012126431488414038,0.9999987113612936,-0.001052032483249003,-0.04227020989247422,0.0011023516538443512,0.9991056071189258,-0.9996782651380058,0.01296410343538382,0.02180133557338424
frame_002,0.9998246372619193,0.0006341299690096249,-0.018716105451024048,-0.0006341537754030856,0.9999997989136026,4.662991143510042e-06,0.01871610464441205,7.2067155062471855e-06,0.9998248383466991,-0.04663552648739415,0.03266634938334187,-0.9983777027193711
frame_003,0.9998234952278555,0.0006020825341172102,-0.018778069309077057,-0.0006017085433065754,0.9999998186465798,2.556631580892879e-05,0.018778081296642345,-1.4262878501748039e-05,0.9998236761846496,0.062393127649847675,-0.031179365302557487,0.9975645065866166
frame_004,0.999823054154314,0.0005350379954631185,-0.01880356657346907,-0.0005352247383688304,0.9999998567552306,-4.898738380301054e-06,0.018803561258945375,1.496200556856328e-05,0.9998231973004627,-0.08522814409287185,0.02736038929524652,-0.9959857290905816
frame_005,0.9998207390274096,0.0007412490161496478,-0.0189193118421518,-0.0007417668437083406,0.9999997246838178,-2.0352843373590973e-05,0.018919291546834,3.438291313337394e-05,0.9998210135945239,-0.10857014217953029,0.03144736812259738,-0.9935912576433422
frame_006,0.9997964440839942,-0.0006254913311859629,0.02016628765031967,0.0006143113692688423,0.9999996541864437,0.0005605787502014372,-0.020166631313692715,-0.0005480762613010279,0.999796482587266,-0.9998393255879932,-0.014810311544274458,0.01009839985881248
frame_007,0.9998168644285054,0.0007647547171277134,-0.0191220489114953,-0.0007644418288364208,0.9999997075341157,2.367220792991176e-05,0.01912206142237982,-9.050178664614383e-06,0.999817156626677,-0.1478095308189556,0.03958403818161223,-0.9882233788573901
frame_008,0.9997800724464462,-0.000692494176262163,0.02096013336777331,0.0006701286946710835,0.9999991986678909,0.0010740535874762427,-0.02096086034760015,-0.0010597713866844674,0.9997797353507902,-0.9996124181765738,-0.027570673998298097,0.00385634055320316
frame_009,0.9997726526911281,-0.0005121022335622845,0.02131620703238132,0.0005189132192390724,0.9999998160692094,-0.00031399143074815005,-0.0213160423159615,0.00032498130725447453,0.999772734538772,-0.9999330061606605,0.007959945208133035,0.008403717200631888
