frame,r11,r12,r13,r21,r22,r23,r31,r32,r33,tx,ty,tz
frame_000,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
frame_001,0.9991038941412445,-0.0011830552242215742,0.04230849905323192,0.0012133960622605425,0.9999990247756366,-0.0006914606076206095,-0.04230763975686868,0.0007421779518702824,0.9991043553053357,-0.9997242755192334,0.008312577693745934,0.021960737456408856
frame_002,0.9997869934300029,-0.0006129565602899442,0.02062988251180072,0.0005821511539916557,0.9999987067273688,0.0014992143353351234,-0.020630774785000413,-0.0014868852829208097,0.9997860572662165,-0.9992115359534531,-0.039128928288935036,0.006725577187163432
frame_003,0.9998235020576122,0.0005273027001051844,-0.01877995434270928,-0.0005269933586431502,0.9999998609095652,2.142078491449914e-05,0.018779963025834387,-1.1520092977904128e-05,0.9998236408767477,0.06708493163345022,-0.027264210855096453,0.9973746912540865
frame_004,0.999823054154314,0.0005350379954631185,-0.01880356657346907,-0.0005352247383688304,0.9999998567552306,-4.898738380301054e-06,0.018803561258945375,1.496200556856328e-05,0.9998231973004627,-0.08522814409287185,0.02736038929524652,-0.9959857290905816
frame_005,0.9998207390274095,0.0007412490161497818,-0.01891931184215223,-0.0007417668437084239,0.9999997246838177,-2.035284337493018e-05,0.018919291546834097,3.438291313335659e-05,0.9998210135945239,-0.10857014217952285,0.03144736812260194,-0.9935912576433429
frame_006,0.9997964440839942,-0.0006254913311859629,0.02016628765031967,0.0006143113692688423,0.9999996541864437,0.0005605787502014372,-0.020166631313692715,-0.0005480762613010279,0.999796482587266,-0.9998393255879932,-0.014810311544274458,0.01009839985881248
frame_007,0.9998168644285054,0.0007647547171277134,-0.0191220489114953,-0.0007644418288364208,0.9999997075341157,2.367220792991176e-05,0.01912206142237982,-9.050178664614383e-06,0.999817156626677,-0.1478095308189556,0.03958403818161223,-0.9882233788573901
frame_008,0.9997800724464462,-0.000692494176262163,0.02096013336777331,0.0006701286946710835,0.9999991986678909,0.0010740535874762427,-0.02096086034760015,-0.0010597713866844674,0.9997797353507902,-0.9996124181765738,-0.027570673998298097,0.00385634055320316
frame_009,0.9997726526911281,-0.0005121022335622845,0.02131620703238132,0.0005189132192390724,0.9999998160692094,-0.00031399143074815005,-0.0213160423159615,0.00032498130725447453,0.999772734538772,-0.9999330061606605,0.007959945208133035,0.008403717200631888
frame_010,0.9997961863727505,-0.0022061470388464437,-0.020067850650908464,0.0022064509931762327,0.9999975657595773,-6.995276196096467e-06,0.020067817233543256,-3.728487853690843e-05,0.9997986203837845,0.22866427410631304,0.04984728811414127,0.9722283155797813
frame_011,0.9997913586311163,-0.0003985200993509478,0.020422546077236682,0.00039914889003823115,0.9999999199832916,-2.671281057123803e-05,-0.020422533797499847,3.485887377240111e-05,0.999791437699958,-0.9999094045176399,-0.0004021055819530509,0.013454407020745317
frame_012,0.9997787451981833,-0.0006414226327929417,0.021024966752690683,0.000642634135385066,0.999999792217002,-5.086571565871165e-05,-0.021024929757638804,6.436582270546511e-05,0.9997789496612375,-0.9999754603033212,0.001656754736959459,0.006806904942951298
frame_013,0.9997812639129405,-0.000610187157933947,0.020905788678617483,0.0006133066767721003,0.9999998017305581,-0.00014280673945723247,-0.020905697394799944,0.00015559716224949454,0.9997814399187255,-0.9999456095979715,0.0038746279218167304,0.009683238312088494
frame_014,0.9997904906678141,0.00033417504871424437,-0.020466145148717085,-0.0003346802597452535,0.9999999437685655,-2.1260045859932547e-05,0.020466136893299514,2.810520645637679e-05,0.9997905462899527,0.29097844492003205,-0.017017085060517426,0.9565782578586882
frame_015,0.999782963974244,0.001979435826956144,-0.02073901590439542,-0.001980852821607513,0.999998036967535,-4.778259143974756e-05,0.02073888061046042,8.885315906701635e-05,0.9997849223388708,0.3240411519497573,-0.057925860246130056,0.9442679315521737
frame_016,0.9997754467534146,-0.0006378462064030406,0.021181341346278453,0.0006358105566107461,0.9999997925844057,0.00010284007901735726,-0.02118140254909221,-8.93496655126395e-05,0.9997756449337475,-0.9999733927614507,-0.002305705941022167,0.0069208012012533515
frame_017,0.9997752641238937,-0.0006185367771429611,0.02119053227869227,0.0006182661039746448,0.9999998086867713,1.9324734424143594e-05,-0.021190540177722067,-6.219003629993139e-06,0.9997754552739834,-0.9999842818414411,-0.000361836823789313,0.005595100014348996
frame_018,0.9997303464548456,-0.0019339699166674232,-0.023140746263578094,0.0019303610774447817,0.9999981209578571,-0.00017828871521215206,0.023141047586152208,0.0001335706431391942,0.9997322011796452,0.4316078423138927,0.043507891207366214,0.9010115059508584
frame_019,0.9997651390626604,-0.0007014116064281207,0.02166044174936685,0.0007012463293321001,0.9999997540108483,1.5225909536198756e-05,-0.021660447100762825,-3.302829643667353e-08,0.9997653849935965,-0.9999889345991265,5.0934688965952225e-05,0.0047040498468302605
frame_020,0.9997892541977762,-0.00045410790178927003,0.02052415593071006,0.00045207544438760844,0.9999998924404474,0.00010366718940336102,-0.02052420079923089,-9.43668750652523e-05,0.999789351951923,-0.9999320526219665,-0.003562250824460213,0.0110995724370226
frame_021,0.9997698758235743,-0.000626510057174435,0.02144301473354733,0.0006262149061052014,0.9999998037177283,2.0479176617626196e-05,-0.0214430233550738,-7.046528406082893e-06,0.9997700719164083,-0.9999922698965805,-0.00029027165415605396,0.003921210202393454
frame_022,0.9998117356871038,-0.00044300455681831833,0.019398374398479773,0.0004380920954453393,0.9999998708871811,0.000257489683470701,-0.01939848596300408,-0.0002489429328639402,0.9998118006753868,-0.9998103859365713,-0.007860634836876091,0.01781579617433997
frame_023,0.999805241332091,-0.0006070832458176182,0.019725893004178437,0.0006067173645122063,0.999999815646072,2.4532874270296835e-05,-0.019725904261129527,-1.256005446426178e-05,0.9998054253420141,-0.9997595972425265,-0.001275511044648074,0.021888828041639958
frame_024,0.9997798945692394,-0.00050993987821513,0.020973849824028633,0.0005081903924365402,0.9999998669336317,8.874257246968659e-05,-0.020973892286491203,-7.80643307744848e-05,0.9997800206787067,-0.9999738143738256,-0.003036992877432681,0.006568655945019379
frame_025,0.999774086231877,-0.0006865010719096084,0.02124394538435692,0.0006865518765148595,0.9999997643112186,4.901872684196865e-06,-0.02124394374253817,9.684305284567529e-06,0.99977432191494,-0.9999772858879287,0.0009074832001469678,0.006678636271954679
frame_026,0.999811135481378,-0.00043514351168647686,0.01942946261639788,0.0004319060591806293,0.9999998921385153,0.00017082187840757322,-0.019429534852739305,-0.00016239791358505008,0.9998112155813837,-0.9996632104366707,-0.006205554780896776,0.025198348940160608
frame_027,0.999773804277663,-0.0007218621378317141,0.021256039029485738,0.0007223697663772727,0.9999997389596511,-1.62033965559131e-05,-0.02125602178418342,3.155445136477985e-05,0.9997740647477444,-0.9999806751674595,0.0019377096413589015,0.005907162853484969
frame_028,0.9997993284788373,-0.000624945736868731,0.020022792414945496,0.000626076786643268,0.9999998027529033,-5.021963177246617e-05,-0.020022757080963037,6.274535965703523e-05,0.9997995225353415,-0.9998460184969316,0.0021493076977363423,0.017416077981398343
frame_029,0.9997823683447568,-0.0005444715929080273,0.02085472362880802,0.0005463253719470455,0.999999847303755,-8.319287820192077e-05,-0.020854675148211117,9.456823744148545e-05,0.9997825131403887,-0.9999345385627267,0.0022949192971817643,0.011209457380544283
frame_030,0.9997895793682082,-0.00044387330043613,0.02050853391236352,0.0004390268897986882,0.9999998746320754,0.00024081366940192364,-0.02050863823200851,-0.00023175919937956397,0.9997896488989781,-0.9998766028239559,-0.008726005998697483,0.013062769405297357
frame_031,0.9998116084515389,-0.0005578559773572874,0.01940196903037531,0.0005591189774020676,0.9999998419125964,-5.9672033374860906e-05,-0.019401932674766004,7.050880075170875e-05,0.999811762301781,-0.9997987497806222,0.0020907124802026747,0.019952164254284758
frame_032,0.9997886776731922,-0.000677705164790867,0.020546063180077512,0.0006788760975835783,0.9999997683128046,-5.0015816789616765e-05,-0.02054602452384039,6.395347852331056e-05,0.9997889061127946,-0.9999001495572788,0.001825046824288935,0.014012855505595037
